领域代码,领域,地区代码 (M49),地区,要素代码,要素,科目代码 (FBS),科目,年份代码,年份,单位,值,标识,标识描述,说明
"FBS","食品收支表 (2010-)","417","吉尔吉斯斯坦","645","Food supply quantity (kg/capita/yr)","S2736","可食用内脏","2022","2022","kg/cap","6.23","E","Estimated value",""
"FBS","食品收支表 (2010-)","398","哈萨克斯坦","645","Food supply quantity (kg/capita/yr)","S2731","牛肉","2022","2022","kg/cap","24.83","E","Estimated value",""
"FBS","食品收支表 (2010-)","398","哈萨克斯坦","645","Food supply quantity (kg/capita/yr)","S2732","绵羊和山羊肉","2022","2022","kg/cap","8.51","E","Estimated value",""
"FBS","食品收支表 (2010-)","398","哈萨克斯坦","645","Food supply quantity (kg/capita/yr)","S2733","猪肉","2022","2022","kg/cap","8.01","E","Estimated value",""
"FBS","食品收支表 (2010-)","398","哈萨克斯坦","645","Food supply quantity (kg/capita/yr)","S2734","禽肉","2022","2022","kg/cap","21.82","E","Estimated value",""
"FBS","食品收支表 (2010-)","398","哈萨克斯坦","645","Food supply quantity (kg/capita/yr)","S2736","可食用内脏","2022","2022","kg/cap","6.45","E","Estimated value",""
"FBS","食品收支表 (2010-)","795","土库曼斯坦","645","Food supply quantity (kg/capita/yr)","S2731","牛肉","2022","2022","kg/cap","25.15","E","Estimated value",""
"FBS","食品收支表 (2010-)","795","土库曼斯坦","645","Food supply quantity (kg/capita/yr)","S2732","绵羊和山羊肉","2022","2022","kg/cap","20.34","E","Estimated value",""
"FBS","食品收支表 (2010-)","795","土库曼斯坦","645","Food supply quantity (kg/capita/yr)","S2733","猪肉","2022","2022","kg/cap","0.07","E","Estimated value",""
"FBS","食品收支表 (2010-)","795","土库曼斯坦","645","Food supply quantity (kg/capita/yr)","S2734","禽肉","2022","2022","kg/cap","11.19","E","Estimated value",""
"FBS","食品收支表 (2010-)","795","土库曼斯坦","645","Food supply quantity (kg/capita/yr)","S2736","可食用内脏","2022","2022","kg/cap","6.93","E","Estimated value",""
"FBS","食品收支表 (2010-)","792","土耳其","645","Food supply quantity (kg/capita/yr)","S2731","牛肉","2022","2022","kg/cap","18.56","E","Estimated value",""
"FBS","食品收支表 (2010-)","792","土耳其","645","Food supply quantity (kg/capita/yr)","S2732","绵羊和山羊肉","2022","2022","kg/cap","7.04","E","Estimated value",""
"FBS","食品收支表 (2010-)","792","土耳其","645","Food supply quantity (kg/capita/yr)","S2733","猪肉","2022","2022","kg/cap","0","E","Estimated value",""
"FBS","食品收支表 (2010-)","792","土耳其","645","Food supply quantity (kg/capita/yr)","S2734","禽肉","2022","2022","kg/cap","21.16","E","Estimated value",""
"FBS","食品收支表 (2010-)","792","土耳其","645","Food supply quantity (kg/capita/yr)","S2736","可食用内脏","2022","2022","kg/cap","2.38","E","Estimated value",""
"FBS","食品收支表 (2010-)","762","塔吉克斯坦","645","Food supply quantity (kg/capita/yr)","S2731","牛肉","2022","2022","kg/cap","24.91","E","Estimated value",""
"FBS","食品收支表 (2010-)","762","塔吉克斯坦","645","Food supply quantity (kg/capita/yr)","S2732","绵羊和山羊肉","2022","2022","kg/cap","7.7","E","Estimated value",""
"FBS","食品收支表 (2010-)","762","塔吉克斯坦","645","Food supply quantity (kg/capita/yr)","S2733","猪肉","2022","2022","kg/cap","0.35","E","Estimated value",""
"FBS","食品收支表 (2010-)","762","塔吉克斯坦","645","Food supply quantity (kg/capita/yr)","S2734","禽肉","2022","2022","kg/cap","2.75","E","Estimated value",""
"FBS","食品收支表 (2010-)","762","塔吉克斯坦","645","Food supply quantity (kg/capita/yr)","S2736","可食用内脏","2022","2022","kg/cap","6.65","E","Estimated value",""
"FBS","食品收支表 (2010-)","196","塞浦路斯","645","Food supply quantity (kg/capita/yr)","S2731","牛肉","2022","2022","kg/cap","8.2","E","Estimated value",""
"FBS","食品收支表 (2010-)","196","塞浦路斯","645","Food supply quantity (kg/capita/yr)","S2732","绵羊和山羊肉","2022","2022","kg/cap","4.14","E","Estimated value",""
"FBS","食品收支表 (2010-)","196","塞浦路斯","645","Food supply quantity (kg/capita/yr)","S2733","猪肉","2022","2022","kg/cap","34.4","E","Estimated value",""
"FBS","食品收支表 (2010-)","196","塞浦路斯","645","Food supply quantity (kg/capita/yr)","S2734","禽肉","2022","2022","kg/cap","29.09","E","Estimated value",""
"FBS","食品收支表 (2010-)","196","塞浦路斯","645","Food supply quantity (kg/capita/yr)","S2736","可食用内脏","2022","2022","kg/cap","1.17","E","Estimated value",""
"FBS","食品收支表 (2010-)","410","大韩民国","645","Food supply quantity (kg/capita/yr)","S2731","牛肉","2022","2022","kg/cap","19.54","E","Estimated value",""
"FBS","食品收支表 (2010-)","410","大韩民国","645","Food supply quantity (kg/capita/yr)","S2732","绵羊和山羊肉","2022","2022","kg/cap","0.55","E","Estimated value",""
"FBS","食品收支表 (2010-)","410","大韩民国","645","Food supply quantity (kg/capita/yr)","S2733","猪肉","2022","2022","kg/cap","41.34","E","Estimated value",""
"FBS","食品收支表 (2010-)","410","大韩民国","645","Food supply quantity (kg/capita/yr)","S2734","禽肉","2022","2022","kg/cap","21.81","E","Estimated value",""
"FBS","食品收支表 (2010-)","410","大韩民国","645","Food supply quantity (kg/capita/yr)","S2736","可食用内脏","2022","2022","kg/cap","4.98","E","Estimated value",""
"FBS","食品收支表 (2010-)","050","孟加拉国","645","Food supply quantity (kg/capita/yr)","S2731","牛肉","2022","2022","kg/cap","1.26","E","Estimated value",""
"FBS","食品收支表 (2010-)","050","孟加拉国","645","Food supply quantity (kg/capita/yr)","S2732","绵羊和山羊肉","2022","2022","kg/cap","1.32","E","Estimated value",""
"FBS","食品收支表 (2010-)","050","孟加拉国","645","Food supply quantity (kg/capita/yr)","S2733","猪肉","2022","2022","kg/cap","0.01","E","Estimated value",""
"FBS","食品收支表 (2010-)","050","孟加拉国","645","Food supply quantity (kg/capita/yr)","S2734","禽肉","2022","2022","kg/cap","1.66","E","Estimated value",""
"FBS","食品收支表 (2010-)","050","孟加拉国","645","Food supply quantity (kg/capita/yr)","S2736","可食用内脏","2022","2022","kg/cap","0.54","E","Estimated value",""
"FBS","食品收支表 (2010-)","524","尼泊尔","645","Food supply quantity (kg/capita/yr)","S2731","牛肉","2022","2022","kg/cap","6.36","E","Estimated value",""
"FBS","食品收支表 (2010-)","524","尼泊尔","645","Food supply quantity (kg/capita/yr)","S2732","绵羊和山羊肉","2022","2022","kg/cap","2.52","E","Estimated value",""
"FBS","食品收支表 (2010-)","524","尼泊尔","645","Food supply quantity (kg/capita/yr)","S2733","猪肉","2022","2022","kg/cap","1.18","E","Estimated value",""
"FBS","食品收支表 (2010-)","524","尼泊尔","645","Food supply quantity (kg/capita/yr)","S2734","禽肉","2022","2022","kg/cap","6.73","E","Estimated value",""
"FBS","食品收支表 (2010-)","524","尼泊尔","645","Food supply quantity (kg/capita/yr)","S2736","可食用内脏","2022","2022","kg/cap","2.35","E","Estimated value",""
"FBS","食品收支表 (2010-)","048","巴 林","645","Food supply quantity (kg/capita/yr)","S2731","牛肉","2022","2022","kg/cap","15.49","E","Estimated value",""
