领域代码,领域,地区代码(M49),地区,要素代码,要素,科目代码(CPC),科目,年份代码,年份,单位,值,标识,标识描述,说明
SCL,供应利用账目(2010-),376,以色列,664,食品消费(大卡/人均/克),1221,西瓜,2022,2022,大卡/人均/克,6.46,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),376,以色列,665,食品数量/日/人均/克),1221,西瓜,2022,2022,克/人/天,31.59,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),364,伊朗,5510,Production,1221,西瓜,2022,2022,t,1200000,E,Estimatedvalue,
SCL,供应利用账目(2010-),364,伊朗,5610,进口数量,1221,西瓜,2022,2022,t,47.99,X,Figurefrominternationalorganizations,Estimateddatausingtradingpartnersdatabase
SCL,供应利用账目(2010-),364,伊朗,5910,出口数量,1221,西瓜,2022,2022,t,375324.66,X,Figurefrominternationalorganizations,Estimateddatausingtradingpartnersdatabase
SCL,供应利用账目(2010-),364,伊朗,5141,食品消费数量(吨),1221,西瓜,2022,2022,t,711346.41,E,Estimatedvalue,
SCL,供应利用账目(2010-),364,伊朗,664,食品消费(大卡/人均/克),1221,西瓜,2022,2022,大卡/人均/克,4.5,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),364,伊朗,665,食品数量/日/人均/克),1221,西瓜,2022,2022,克/人/天,22.01,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),368,伊拉克,5510,Production,1221,西瓜,2022,2022,t,440149,A,Officialfigure,
SCL,供应利用账目(2010-),368,伊拉克,5610,进口数量,1221,西瓜,2022,2022,t,470822,X,Figurefrominternationalorganizations,Estimateddatausingtradingpartnersdatabase
SCL,供应利用账目(2010-),368,伊拉克,5910,出口数量,1221,西瓜,2022,2022,t,4.64,X,Figurefrominternationalorganizations,Estimateddatausingtradingpartnersdatabase
SCL,供应利用账目(2010-),368,伊拉克,5141,食品消费数量(吨),1221,西瓜,2022,2022,t,831295.18,E,Estimatedvalue,
SCL,供应利用账目(2010-),368,伊拉克,664,食品消费(大卡/人均/克),1221,西瓜,2022,2022,大卡/人均/克,12.21,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),368,伊拉克,665,食品数量/日/人均/克),1221,西瓜,2022,2022,克/人/天,59.68,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),634,卡塔尔,5510,Production,1221,西瓜,2022,2022,t,149.03,I,Imputedvalue,
SCL,供应利用账目(2010-),634,卡塔尔,5610,进口数量,1221,西瓜,2022,2022,t,37817.03,A,Officialfigure,
SCL,供应利用账目(2010-),634,卡塔尔,5141,食品消费数量(吨),1221,西瓜,2022,2022,t,37886.33,E,Estimatedvalue,
SCL,供应利用账目(2010-),634,卡塔尔,664,食品消费(大卡/人均/克),1221,西瓜,2022,2022,大卡/人均/克,7.88,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),634,卡塔尔,665,食品数量/日/人均/克),1221,西瓜,2022,2022,克/人/天,38.51,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),356,印度,5510,Production,1221,西瓜,2022,2022,t,3308000,A,Officialfigure,
SCL,供应利用账目(2010-),356,印度,5610,进口数量,1221,西瓜,2022,2022,t,4.01,A,Officialfigure,
SCL,供应利用账目(2010-),356,印度,5910,出口数量,1221,西瓜,2022,2022,t,38312.68,A,Officialfigure,
SCL,供应利用账目(2010-),356,印度,5141,食品消费数量(吨),1221,西瓜,2022,2022,t,3003472.38,E,Estimatedvalue,
SCL,供应利用账目(2010-),356,印度,664,食品消费(大卡/人均/克),1221,西瓜,2022,2022,大卡/人均/克,1.19,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),356,印度,665,食品数量/日/人均/克),1221,西瓜,2022,2022,克/人/天,5.81,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),360,印度尼西亚,5510,Production,1221,西瓜,2022,2022,t,367816.47,A,Officialfigure,
SCL,供应利用账目(2010-),360,印度尼西亚,5910,出口数量,1221,西瓜,2022,2022,t,312.6,A,Officialfigure,
SCL,供应利用账目(2010-),360,印度尼西亚,5141,食品消费数量(吨),1221,西瓜,2022,2022,t,364673.2,E,Estimatedvalue,
SCL,供应利用账目(2010-),360,印度尼西亚,664,食品消费(大卡/人均/克),1221,西瓜,2022,2022,大卡/人均/克,0.74,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),360,印度尼西亚,665,食品数量/日/人均/克),1221,西瓜,2022,2022,克/人/天,3.63,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),417,吉尔吉斯斯坦,5510,Production,1221,西瓜,2022,2022,t,194816,A,Officialfigure,
SCL,供应利用账目(2010-),417,吉尔吉斯斯坦,5610,进口数量,1221,西瓜,2022,2022,t,11190.87,A,Officialfigure,
SCL,供应利用账目(2010-),417,吉尔吉斯斯坦,5910,出口数量,1221,西瓜,2022,2022,t,6211.4,A,Officialfigure,
SCL,供应利用账目(2010-),417,吉尔吉斯斯坦,5141,食品消费数量(吨),1221,西瓜,2022,2022,t,132365.09,E,Estimatedvalue,
SCL,供应利用账目(2010-),417,吉尔吉斯斯坦,664,食品消费(大卡/人均/克),1221,西瓜,2022,2022,大卡/人均/克,11.19,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),417,吉尔吉斯斯坦,665,食品数量/日/人均/克),1221,西瓜,2022,2022,克/人/天,54.69,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),398,哈萨克斯坦,5510,Production,1221,西瓜,2022,2022,t,1345871.39,A,Officialfigure,
SCL,供应利用账目(2010-),398,哈萨克斯坦,5610,进口数量,1221,西瓜,2022,2022,t,46202.49,A,Officialfigure,
SCL,供应利用账目(2010-),398,哈萨克斯坦,5910,出口数量,1221,西瓜,2022,2022,t,28881.22,A,Officialfigure,
SCL,供应利用账目(2010-),398,哈萨克斯坦,5141,食品消费数量(吨),1221,西瓜,2022,2022,t,636995.76,E,Estimatedvalue,
SCL,供应利用账目(2010-),398,哈萨克斯坦,664,食品消费(大卡/人均/克),1221,西瓜,2022,2022,大卡/人均/克,18.41,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),398,哈萨克斯坦,665,食品数量/日/人均/克),1221,西瓜,2022,2022,克/人/天,89.97,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),795,土库曼斯坦,5510,Production,1221,西瓜,2022,2022,t,581272.08,A,Officialfigure,
SCL,供应利用账目(2010-),795,土库曼斯坦,5910,出口数量,1221,西瓜,2022,2022,t,18,X,Figurefrominternationalorganizations,Estimateddatausingtradingpartnersdatabase
SCL,供应利用账目(2010-),795,土库曼斯坦,5141,食品消费数量(吨),1221,西瓜,2022,2022,t,364665.86,E,Estimatedvalue,
SCL,供应利用账目(2010-),795,土库曼斯坦,664,食品消费(大卡/人均/克),1221,西瓜,2022,2022,大卡/人均/克,31.79,X,Figurefrominternationalorganizations,非正式数据
SCL,供应利用账目(2010-),795,土库曼斯坦,665,食品数量/日/人均/克),1221,西瓜,2022,2022,克/人/天,155.36,X,Figurefrominternationalorganizations,非正式数据
